"id";"prefix";"vendor"
100695;"000000";XEROX CORPORATION
100696;"000001";XEROX CORPORATION
100697;"000002";XEROX CORPORATION
100698;"000003";XEROX CORPORATION
100699;"000004";XEROX CORPORATION
100700;"000005";XEROX CORPORATION
100701;"000006";XEROX CORPORATION
100702;"000007";XEROX CORPORATION
100703;"000008";XEROX CORPORATION
100704;"000009";XEROX CORPORATION
100705;"00000A";OMRON TATEISI ELECTRONICS CO.
100706;"00000B";MATRIX CORPORATION
100707;"00000C";Cisco Systems, Inc
100708;"00000D";FIBRONICS LTD.
100709;"00000E";FUJITSU LIMITED
100710;"00000F";NEXT, INC.
100711;"000010";SYTEK INC.
100712;"000011";NORMEREL SYSTEMES
100713;"000012";INFORMATION TECHNOLOGY LIMITED
100714;"000013";CAMEX
100715;"000014";NETRONIX
100716;"000015";DATAPOINT CORPORATION
100717;"000016";DU PONT PIXEL SYSTEMS.
100718;"000017";Oracle
100719;"000018";WEBSTER COMPUTER CORPORATION
100720;"000019";APPLIED DYNAMICS INTERNATIONAL
100721;"00001A";ADVANCED MICRO DEVICES
100722;"00001B";Novell, Inc.
100723;"00001C";BELL TECHNOLOGIES
100724;"00001D";Cabletron Systems, Inc.
100725;"00001E";TELSIST INDUSTRIA ELECTRONICA
100726;"00001F";Telco Systems, Inc.
100727;"000020";DATAINDUSTRIER DIAB AB
100728;"000021";SUREMAN COMP. & COMMUN. CORP.
100729;"000022";VISUAL TECHNOLOGY INC.
100730;"000023";ABB INDUSTRIAL SYSTEMS AB
100731;"000024";CONNECT AS
100732;"000025";RAMTEK CORP.
100733;"000026";SHA-KEN CO., LTD.
100734;"000027";JAPAN RADIO COMPANY
100735;"000028";PRODIGY SYSTEMS CORPORATION
100736;"000029";IMC NETWORKS CORP.
100737;"00002A";TRW - SEDD/INP
100738;"00002B";CRISP AUTOMATION, INC
100739;"00002C";AUTOTOTE LIMITED
100740;"00002D";CHROMATICS INC
100741;"00002E";SOCIETE EVIRA
100742;"00002F";TIMEPLEX INC.
100743;"000030";VG LABORATORY SYSTEMS LTD
100744;"000031";QPSX COMMUNICATIONS, LTD.
100745;"000032";Marconi plc
100746;"000033";EGAN MACHINERY COMPANY
100747;"000034";NETWORK RESOURCES CORPORATION
100748;"000035";SPECTRAGRAPHICS CORPORATION
100749;"000036";ATARI CORPORATION
100750;"000037";OXFORD METRICS LIMITED
100751;"000038";CSS LABS
100752;"000039";TOSHIBA CORPORATION
100753;"00003A";CHYRON CORPORATION
100754;"00003B";i Controls, Inc.
100755;"00003C";AUSPEX SYSTEMS INC.
100756;"00003D";UNISYS
100757;"00003E";SIMPACT
100758;"00003F";SYNTREX, INC.
100759;"000040";APPLICON, INC.
100760;"000041";ICE CORPORATION
100761;"000042";METIER MANAGEMENT SYSTEMS LTD.
100762;"000043";MICRO TECHNOLOGY
100763;"000044";CASTELLE CORPORATION
100764;"000045";FORD AEROSPACE & COMM. CORP.
100765;"000046";OLIVETTI NORTH AMERICA
